,Datetime,Tweet,RT
53,Wed Jun 27 02:18:31 +0000 2018,"Wow! Big Trump Hater Congressman Joe Crowley, who many expected was going to take Nancy Pelosi’s place, just LOST h… https://t.co/4TuokLaPMJ",False
54,Wed Jun 27 02:05:19 +0000 2018,"Tremendous win for Congressman Dan Donovan. You showed great courage in a tough race! New York, and my many friends… https://t.co/JvRCgZpcG8",False
55,Wed Jun 27 01:52:50 +0000 2018,Congratulations to Governor Henry McMaster on your BIG election win! South Carolina loves you. We are all proud of… https://t.co/jWLZKh1S99,False
56,Tue Jun 26 20:12:05 +0000 2018,"Today, we tell the story of an incredible HERO who defended our nation in World War Two – First Lieutenant Garlin M… https://t.co/nrpii7C3KK",False
57,Tue Jun 26 14:40:42 +0000 2018,SUPREME COURT UPHOLDS TRUMP TRAVEL BAN. Wow!,False
58,Tue Jun 26 13:30:44 +0000 2018,“The most profound question of our era: Was there a conspiracy in the Obama Department of Justice and the FBI to pr… https://t.co/EY5JfbWzmt,False
59,Tue Jun 26 12:36:18 +0000 2018,"The face of the Democrats is now Maxine Waters who, together with Nancy Pelosi, have established a fine leadership… https://t.co/k95es4evL2",False
60,Tue Jun 26 12:17:49 +0000 2018,A Harley-Davidson should never be built in another country-never! Their employees and customers are already very an… https://t.co/iTUQaIXwHJ,False
61,Tue Jun 26 11:57:00 +0000 2018,"It was great being with Governor Henry McMaster last night in South Carolina. Henry is tough on Crime and Borders,… https://t.co/XPG4k94aRL",False
62,Tue Jun 26 11:49:57 +0000 2018,....We are finishing our study of Tariffs on cars from the E.U. in that they have long taken advantage of the U.S.… https://t.co/MOBnXWSfYl,False
63,Tue Jun 26 11:37:51 +0000 2018,"....When I had Harley-Davidson officials over to the White House, I chided them about tariffs in other countries, l… https://t.co/PhSv1BSMYa",False
64,Tue Jun 26 11:25:01 +0000 2018,....We are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used… https://t.co/n5sU0778dD,False
65,Tue Jun 26 11:16:36 +0000 2018,Early this year Harley-Davidson said they would move much of their plant operations in Kansas City to Thailand. Tha… https://t.co/uDeWOh3mWJ,False
66,Tue Jun 26 01:35:03 +0000 2018,Thank you South Carolina. Now let’s get out tomorrow and VOTE for @HenryMcMaster! https://t.co/5xlz0wfMfu,False
67,Mon Jun 25 23:44:36 +0000 2018,Just landed in South Carolina - will be at the McMaster rally shortly! #MAGA,False
68,Mon Jun 25 23:30:34 +0000 2018,The hearing of Peter Strzok and the other hating frauds at the FBI &amp; DOJ should be shown to the public on live tele… https://t.co/TFLQ7s7kmy,False
69,Mon Jun 25 23:22:12 +0000 2018,"Why is Senator Mark Warner (D-VA), perhaps in a near drunken state, claiming he has information that only he and Bo… https://t.co/oumPE3BtVX",False
70,Mon Jun 25 23:11:24 +0000 2018,"RT @WhiteHouse: Today, @realDonaldTrump and @FLOTUS welcomed @KingAbdullahII and @QueenRania of the Hashemite Kingdom of Jordan to the Whit…",True
71,Mon Jun 25 23:06:56 +0000 2018,“Director David Lynch: Trump Could Go Down as One of the Greatest Presidents” https://t.co/AcgnIZNh6e,False
72,Mon Jun 25 21:28:06 +0000 2018,"Surprised that Harley-Davidson, of all companies, would be the first to wave the White Flag. I fought hard for them… https://t.co/cTQIqsyfbK",False
73,Mon Jun 25 17:11:17 +0000 2018,"Congresswoman Maxine Waters, an extraordinarily low IQ person, has become, together with Nancy Pelosi, the Face of… https://t.co/iZvAew0qOB",False
74,Mon Jun 25 16:58:59 +0000 2018,RT @EricTrump: Record High Economic Optimism: 51% of people think the the economy is good or excellent - this is the highest number @CNBC h…,True
75,Mon Jun 25 16:58:53 +0000 2018,"RT @TrumpGolf: Congratulations to our dear friend and @TrumpCharlotte member, @ScottMcCarron, on his incredible win at the @AmFamChamp this…",True
76,Mon Jun 25 14:39:20 +0000 2018,RT @marcorubio: Trump haters still haven’t realized how much they help him with their condescension of those who either voted for him or do…,True
77,Mon Jun 25 14:36:39 +0000 2018,"Will be heading to one of my favorite places, South Carolina, to fight for one of my original “fighters,” Governor… https://t.co/WUmWQiimJq",False
78,Mon Jun 25 12:54:25 +0000 2018,"....If this is done, illegal immigration will be stopped in it’s tracks - and at very little, by comparison, cost.… https://t.co/HDii4VkUNc",False
79,Mon Jun 25 12:43:00 +0000 2018,"Hiring manythousands of judges, and going through a long and complicated legal process, is not the way to go - will… https://t.co/try3EcJSAJ",False
80,Mon Jun 25 12:36:29 +0000 2018,Such a difference in the media coverage of the same immigration policies between the Obama Administration and ours.… https://t.co/SIv7btegSk,False
81,Mon Jun 25 12:02:21 +0000 2018,"I have tried to stay uninvolved with the Department of Justice and FBI (although I do not legally have to), because… https://t.co/rBebc0GHdb",False
82,Mon Jun 25 11:41:25 +0000 2018,"The Red Hen Restaurant should focus more on cleaning its filthy canopies, doors and windows (badly needs a paint jo… https://t.co/CObp1kkDlk",False
83,Mon Jun 25 11:28:48 +0000 2018,Former Attorney General Michael Mukasey said that President Trump is probably correct that there was surveillance o… https://t.co/O5DN6DKreR,False
84,Mon Jun 25 01:08:19 +0000 2018,".@RepClayHiggins has been a great help to me on Cutting Taxes, creating great new healthcare programs at low cost,… https://t.co/8Y4VAfVZK3",False
85,Mon Jun 25 00:08:51 +0000 2018,"House Republicans could easily pass a Bill on Strong Border Security but remember, it still has to pass in the Sena… https://t.co/1tJeUrJyV5",False
86,Mon Jun 25 00:01:05 +0000 2018,.@jimmyfallon is now whimpering to all that he did the famous “hair show” with me (where he seriously messed up my… https://t.co/O7qrzxhEWv,False
87,Sun Jun 24 20:12:25 +0000 2018,The United States is insisting that all countries that have placed artificial Trade Barriers and Tariffs on goods g… https://t.co/5i0yZh1XSK,False
88,Sun Jun 24 15:08:33 +0000 2018,"....Our Immigration policy, laughed at all over the world, is very unfair to all of those people who have gone thro… https://t.co/NnqUpbRHLp",False
89,Sun Jun 24 15:02:02 +0000 2018,"We cannot allow all of these people to invade our Country. When somebody comes in, we must immediately, with no Jud… https://t.co/X8GwD9vA5p",False
90,Sun Jun 24 13:12:50 +0000 2018,"Democrats, fix the laws. Don’t RESIST. We are doing a far better job than Bush and Obama, but we need strength and… https://t.co/0bxgKrG5Og",False
91,Sun Jun 24 01:43:41 +0000 2018,Major Wall Street Journal opinion piece today talking about the Russian Witch Hunt and the disgrace that it is. So… https://t.co/ADkg5DLfQo,False
92,Sat Jun 23 22:06:58 +0000 2018,AMERICA IS OPEN FOR BUSINESS! https://t.co/ZjdlHwJlxm,False
93,Sat Jun 23 20:25:06 +0000 2018,Thank you @NVGOP! #MAGA https://t.co/OGTR2j6PGG,False
94,Sat Jun 23 17:12:03 +0000 2018,"Happy Birthday to Supreme Court Justice Clarence Thomas, a friend and great man! https://t.co/hlXYYkTjcv",False
95,Sat Jun 23 17:05:33 +0000 2018,"It’s very sad that Nancy Pelosi and her sidekick, Cryin’ Chuck Schumer, want to protect illegal immigrants far more… https://t.co/HidQanCeMr",False
96,Sat Jun 23 17:03:03 +0000 2018,"RT @HuckabeeOnTBN: TONIGHT: the President of the United States, @realDonaldTrump, sits down to discuss his thoughts about international rel…",True
97,Sat Jun 23 16:57:48 +0000 2018,Heading to Nevada to talk trade and immigration with supporters. Country’s economy is stronger than ever before wit… https://t.co/kXEzed3ign,False
98,Sat Jun 23 14:53:30 +0000 2018,"My thoughts and prayers are with Representative Katie Arrington of South Carolina, including all of those involved… https://t.co/s2qGDVlASC",False
99,Sat Jun 23 14:00:16 +0000 2018,".@VP Pence is heading to Pittsburgh, Pennsylvania where we have both strongly endorsed one of the finest men around… https://t.co/fkXBNxvWZe",False
